23:01:35.458 ; Main  ; Info ; Creating Kernel Object
23:21:23.273 ; TCPsocketClient ; Error ; SDLNet_TCP_Open: Couldn't connect to remote host
23:21:44.688 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:21:45.277 ; Main  ; Info ; GCPtr exit manual collect
23:21:45.278 ; GCPtr ; Warn ; Deleting [00623438]
23:21:45.278 ; GCPtr ; Warn ; Deleting [00641178]
23:21:45.278 ; GCPtr ; Warn ; Deleting [00656848]
23:21:45.278 ; GCPtr ; Warn ; Deleting [006563B0]
23:21:45.278 ; GCPtr ; Warn ; Deleting [00657D40]
23:21:45.278 ; GCPtr ; Warn ; Deleting [006577B8]
23:21:45.279 ; GCPtr ; Warn ; Deleting [00672E90]
23:21:45.279 ; GCPtr ; Warn ; Deleting [006727B8]
23:21:45.279 ; GCPtr ; Warn ; Deleting [00673308]
23:21:45.279 ; GCPtr ; Warn ; Deleting [00683C50]
23:21:45.279 ; Main  ; Info ; Calling SDL_Quit()
23:24:00.184 ; Main  ; Info ; Creating Kernel Object
23:24:00.184 ; Main  ; Info ; New RenderEngine Task
23:24:00.191 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
23:24:00.192 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
23:24:00.192 ; SmpegPlayer ; Info ; constructor successfull
23:24:00.809 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
23:24:01.021 ; Main  ; Info ; New Input Task
23:24:01.021 ; Main  ; Info ; New Timer Task
23:24:01.023 ; Main  ; Info ; New GameMenu Task
23:24:01.031 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:24:01.522 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
23:24:01.546 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
23:24:02.551 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:24:03.119 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:24:03.491 ; Main  ; Info ; GCPtr exit manual collect
23:24:03.492 ; GCPtr ; Warn ; Deleting [02413438]
23:24:03.492 ; GCPtr ; Warn ; Deleting [02431178]
23:24:03.492 ; GCPtr ; Warn ; Deleting [02446848]
23:24:03.493 ; GCPtr ; Warn ; Deleting [024463B0]
23:24:03.493 ; GCPtr ; Warn ; Deleting [02447D40]
23:24:03.493 ; GCPtr ; Warn ; Deleting [024477B8]
23:24:03.493 ; Main  ; Info ; Calling SDL_Quit()
23:24:16.589 ; Main  ; Info ; Creating Kernel Object
23:24:16.590 ; Main  ; Info ; New RenderEngine Task
23:24:16.597 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
23:24:16.598 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
23:24:16.598 ; SmpegPlayer ; Info ; constructor successfull
23:24:17.215 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
23:24:17.427 ; Main  ; Info ; New Input Task
23:24:17.427 ; Main  ; Info ; New Timer Task
23:24:17.429 ; Main  ; Info ; New GameMenu Task
23:24:17.438 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:24:17.911 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
23:24:17.934 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
23:24:18.975 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:24:19.475 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:24:20.147 ; Main  ; Info ; GCPtr exit manual collect
23:24:20.147 ; GCPtr ; Warn ; Deleting [00763438]
23:24:20.147 ; GCPtr ; Warn ; Deleting [00781178]
23:24:20.148 ; GCPtr ; Warn ; Deleting [00796848]
23:24:20.148 ; GCPtr ; Warn ; Deleting [007963B0]
23:24:20.148 ; GCPtr ; Warn ; Deleting [00797D40]
23:24:20.148 ; GCPtr ; Warn ; Deleting [007977B8]
23:24:20.149 ; Main  ; Info ; Calling SDL_Quit()
23:25:34.208 ; Main  ; Info ; Creating Kernel Object
23:25:34.209 ; Main  ; Info ; New RenderEngine Task
23:25:34.233 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
23:25:34.234 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
23:25:34.235 ; SmpegPlayer ; Info ; constructor successfull
23:25:34.887 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
23:25:35.100 ; Main  ; Info ; New Input Task
23:25:35.100 ; Main  ; Info ; New Timer Task
23:25:35.102 ; Main  ; Info ; New GameMenu Task
23:25:35.110 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:25:35.595 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
23:25:35.618 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
23:25:39.010 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:25:39.517 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:25:39.920 ; Main  ; Info ; GCPtr exit manual collect
23:25:39.921 ; GCPtr ; Warn ; Deleting [005A3438]
23:25:39.921 ; GCPtr ; Warn ; Deleting [005C1178]
23:25:39.922 ; GCPtr ; Warn ; Deleting [005D6848]
23:25:39.922 ; GCPtr ; Warn ; Deleting [005D63B0]
23:25:39.922 ; GCPtr ; Warn ; Deleting [005D7D40]
23:25:39.922 ; GCPtr ; Warn ; Deleting [005D77B8]
23:25:39.923 ; Main  ; Info ; Calling SDL_Quit()
23:26:29.042 ; Main  ; Info ; Creating Kernel Object
23:26:29.043 ; Main  ; Info ; New RenderEngine Task
23:26:29.050 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
23:26:29.051 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
23:26:29.051 ; SmpegPlayer ; Info ; constructor successfull
23:26:29.666 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
23:26:29.877 ; Main  ; Info ; New Input Task
23:26:29.877 ; Main  ; Info ; New Timer Task
23:26:29.879 ; Main  ; Info ; New GameMenu Task
23:26:29.887 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:26:30.357 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
23:26:30.380 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
23:26:33.542 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:26:35.675 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:26:36.223 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:26:37.812 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:26:38.065 ; Main  ; Info ; GCPtr exit manual collect
23:26:38.065 ; GCPtr ; Warn ; Deleting [01F83438]
23:26:38.066 ; GCPtr ; Warn ; Deleting [01FA1178]
23:26:38.066 ; GCPtr ; Warn ; Deleting [01FB83A8]
23:26:38.066 ; GCPtr ; Warn ; Deleting [01FB67E8]
23:26:38.066 ; GCPtr ; Warn ; Deleting [01FC5008]
23:26:38.066 ; GCPtr ; Warn ; Deleting [01FB55D8]
23:26:38.067 ; GCPtr ; Warn ; Deleting [01FD4198]
23:26:38.067 ; GCPtr ; Warn ; Deleting [01FB4798]
23:26:38.067 ; GCPtr ; Warn ; Deleting [01FB41A0]
23:26:38.067 ; GCPtr ; Warn ; Deleting [01FB7A60]
23:26:38.068 ; Main  ; Info ; Calling SDL_Quit()
11:12:47.407 ; Main  ; Info ; Creating Kernel Object
11:12:47.408 ; Main  ; Info ; New RenderEngine Task
11:12:47.413 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
11:12:47.414 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
11:12:47.414 ; SmpegPlayer ; Info ; constructor successfull
11:12:47.975 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
11:12:48.148 ; Main  ; Info ; New Input Task
11:12:48.148 ; Main  ; Info ; New Timer Task
11:12:48.150 ; Main  ; Info ; New GameMenu Task
11:12:48.156 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:12:48.999 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
11:12:49.018 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
11:21:09.857 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:21:13.390 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:21:14.140 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:21:26.923 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:21:52.240 ; Main  ; Info ; Creating Kernel Object
11:21:52.240 ; Main  ; Info ; New RenderEngine Task
11:21:52.245 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
11:21:52.245 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
11:21:52.245 ; SmpegPlayer ; Info ; constructor successfull
11:21:52.790 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
11:21:52.955 ; Main  ; Info ; New Input Task
11:21:52.955 ; Main  ; Info ; New Timer Task
11:21:52.957 ; Main  ; Info ; New GameMenu Task
11:21:52.962 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:21:53.608 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
11:21:53.625 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
11:21:58.046 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:22:33.559 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:23:00.006 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:23:00.037 ; NetManager ; Warn ; Socket with  2130706433 closed
11:23:00.040 ; NetManager ; Warn ; Socket with  2130706433 closed
11:23:34.562 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:23:35.772 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:23:42.962 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:25:30.395 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:25:30.426 ; NetManager ; Warn ; Socket with  167772165 closed
11:25:30.434 ; NetManager ; Warn ; Socket with  167772165 closed
11:25:31.407 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:25:32.157 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:25:50.645 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:36:07.745 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:36:07.778 ; NetManager ; Warn ; Socket with  167772165 closed
11:36:07.783 ; NetManager ; Warn ; Socket with  167772165 closed
11:36:08.122 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
11:36:08.149 ; SoundManager ; Warn ; **Unknown AL_ERROR** :Load/ALUT_ERROR: 
11:36:08.451 ; Main  ; Info ; GCPtr exit manual collect
11:36:08.451 ; GCPtr ; Warn ; Deleting [01EF3648]
11:36:08.451 ; GCPtr ; Warn ; Deleting [01F116B8]
11:36:08.452 ; GCPtr ; Warn ; Deleting [01F28C78]
11:36:08.452 ; GCPtr ; Warn ; Deleting [01F28878]
11:36:08.452 ; GCPtr ; Warn ; Deleting [01F35340]
11:36:08.452 ; GCPtr ; Warn ; Deleting [01F34FD8]
11:36:08.452 ; GCPtr ; Warn ; Deleting [01F45718]
11:36:08.452 ; GCPtr ; Warn ; Deleting [01F45160]
11:36:08.452 ; GCPtr ; Warn ; Deleting [01F44748]
11:36:08.453 ; GCPtr ; Warn ; Deleting [01F44BA8]
11:36:08.453 ; GCPtr ; Warn ; Deleting [01F63520]
11:36:08.453 ; GCPtr ; Warn ; Deleting [01F65BB8]
11:36:08.453 ; GCPtr ; Warn ; Deleting [01F721E0]
11:36:08.453 ; GCPtr ; Warn ; Deleting [01F629B8]
11:36:08.453 ; GCPtr ; Warn ; Deleting [01F80FF0]
11:36:08.453 ; GCPtr ; Warn ; Deleting [01F81A88]
11:36:08.454 ; GCPtr ; Warn ; Deleting [01F91370]
11:36:08.454 ; GCPtr ; Warn ; Deleting [01F91008]
11:36:08.454 ; GCPtr ; Warn ; Deleting [01FA16A0]
11:36:08.454 ; GCPtr ; Warn ; Deleting [01FA0FC8]
11:36:08.454 ; GCPtr ; Warn ; Deleting [01FA48C8]
11:36:08.454 ; GCPtr ; Warn ; Deleting [01FA44B0]
11:36:08.454 ; Main  ; Info ; Calling SDL_Quit()
11:36:09.173 ; Main  ; Info ; GCPtr exit manual collect
11:36:09.173 ; GCPtr ; Warn ; Deleting [0225C5A0]
11:36:09.173 ; GCPtr ; Warn ; Deleting [0047F008]
11:36:09.173 ; GCPtr ; Warn ; Deleting [004924C8]
11:36:09.173 ; GCPtr ; Warn ; Deleting [00492188]
11:36:09.174 ; GCPtr ; Warn ; Deleting [00480D50]
11:36:09.174 ; GCPtr ; Warn ; Deleting [004A2AB0]
11:36:09.174 ; GCPtr ; Warn ; Deleting [004A1D38]
11:36:09.174 ; GCPtr ; Warn ; Deleting [004A19F8]
11:36:09.174 ; GCPtr ; Warn ; Deleting [0048CAD0]
11:36:09.174 ; GCPtr ; Warn ; Deleting [004A45A0]
11:36:09.174 ; GCPtr ; Warn ; Deleting [004D0A70]
11:36:09.174 ; GCPtr ; Warn ; Deleting [004A2430]
11:36:09.175 ; GCPtr ; Warn ; Deleting [00480B10]
11:36:09.175 ; GCPtr ; Warn ; Deleting [004AF410]
11:36:09.175 ; Main  ; Info ; Calling SDL_Quit()
14:51:30.565 ; Main  ; Info ; Creating Kernel Object
14:51:30.566 ; Main  ; Info ; New RenderEngine Task
14:51:30.571 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
14:51:30.572 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
14:51:30.572 ; SmpegPlayer ; Info ; constructor successfull
14:51:31.139 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
14:51:31.300 ; Main  ; Info ; New Input Task
14:51:31.300 ; Main  ; Info ; New Timer Task
14:51:31.301 ; Main  ; Info ; New GameMenu Task
14:51:31.307 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:51:32.095 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
14:51:32.113 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
14:51:34.385 ; Main  ; Info ; GCPtr exit manual collect
14:51:34.385 ; GCPtr ; Warn ; Deleting [00963648]
14:51:34.385 ; GCPtr ; Warn ; Deleting [009816B8]
14:51:34.385 ; Main  ; Info ; Calling SDL_Quit()
14:52:29.572 ; Main  ; Info ; Creating Kernel Object
14:52:29.572 ; Main  ; Info ; New RenderEngine Task
14:52:29.578 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
14:52:29.578 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
14:52:29.578 ; SmpegPlayer ; Info ; constructor successfull
14:52:30.169 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
14:52:30.330 ; Main  ; Info ; New Input Task
14:52:30.331 ; Main  ; Info ; New Timer Task
14:52:30.332 ; Main  ; Info ; New GameMenu Task
14:52:30.338 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:52:31.144 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
14:52:31.162 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
14:52:33.066 ; Main  ; Info ; GCPtr exit manual collect
14:52:33.066 ; GCPtr ; Warn ; Deleting [01FC3648]
14:52:33.066 ; GCPtr ; Warn ; Deleting [01FE16B8]
14:52:33.066 ; Main  ; Info ; Calling SDL_Quit()
14:52:39.571 ; Main  ; Info ; Creating Kernel Object
14:52:39.571 ; Main  ; Info ; New RenderEngine Task
14:52:39.576 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
14:52:39.576 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
14:52:39.576 ; SmpegPlayer ; Info ; constructor successfull
14:52:40.119 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
14:52:40.277 ; Main  ; Info ; New Input Task
14:52:40.277 ; Main  ; Info ; New Timer Task
14:52:40.278 ; Main  ; Info ; New GameMenu Task
14:52:40.283 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:52:40.849 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
14:52:40.865 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
14:52:45.332 ; Main  ; Info ; Creating Kernel Object
14:52:45.332 ; Main  ; Info ; New RenderEngine Task
14:52:45.338 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
14:52:45.339 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
14:52:45.339 ; SmpegPlayer ; Info ; constructor successfull
14:52:45.896 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
14:52:46.058 ; Main  ; Info ; New Input Task
14:52:46.059 ; Main  ; Info ; New Timer Task
14:52:46.060 ; Main  ; Info ; New GameMenu Task
14:52:46.066 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:52:46.887 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
14:52:46.905 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
14:53:48.068 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:53:57.051 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:54:20.533 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:54:20.564 ; NetManager ; Warn ; Socket with  2130706433 closed
14:54:20.579 ; IncomingMsgMan ; Error ; ERROR, size -1, closing socket
14:54:20.579 ; NetManager ; Warn ; Socket with  2130706433 closed
14:54:21.450 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:54:24.549 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:54:28.216 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:54:31.516 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:54:41.734 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:54:43.083 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:54:48.549 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
14:54:49.366 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
15:04:08.277 ; Main  ; Info ; GCPtr exit manual collect
15:04:08.277 ; GCPtr ; Warn ; Deleting [00A13648]
15:04:08.277 ; GCPtr ; Warn ; Deleting [00A316B8]
15:04:08.277 ; GCPtr ; Warn ; Deleting [00A441F0]
15:04:08.277 ; GCPtr ; Warn ; Deleting [00A43C38]
15:04:08.277 ; GCPtr ; Warn ; Deleting [00A45720]
15:04:08.278 ; GCPtr ; Warn ; Deleting [00A45140]
15:04:08.278 ; Main  ; Info ; Calling SDL_Quit()
15:04:09.716 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
15:04:09.741 ; SoundManager ; Warn ; **Unknown AL_ERROR** :Load/ALUT_ERROR: 
15:04:09.879 ; Main  ; Info ; GCPtr exit manual collect
15:04:09.879 ; GCPtr ; Warn ; Deleting [0042C5A0]
15:04:09.879 ; GCPtr ; Warn ; Deleting [0095F008]
15:04:09.879 ; GCPtr ; Warn ; Deleting [0096C8F0]
15:04:09.879 ; GCPtr ; Warn ; Deleting [00972188]
15:04:09.879 ; GCPtr ; Warn ; Deleting [009829C0]
15:04:09.880 ; GCPtr ; Warn ; Deleting [00982668]
15:04:09.880 ; GCPtr ; Warn ; Deleting [00960D50]
15:04:09.880 ; GCPtr ; Warn ; Deleting [00982FA0]
15:04:09.880 ; GCPtr ; Warn ; Deleting [009837E8]
15:04:09.880 ; GCPtr ; Warn ; Deleting [00983490]
15:04:09.880 ; GCPtr ; Warn ; Deleting [00981B30]
15:04:09.880 ; GCPtr ; Warn ; Deleting [009817F0]
15:04:09.880 ; GCPtr ; Warn ; Deleting [009821C8]
15:04:09.881 ; GCPtr ; Warn ; Deleting [009AD008]
15:04:09.881 ; GCPtr ; Warn ; Deleting [009C5A48]
15:04:09.881 ; GCPtr ; Warn ; Deleting [009C5708]
15:04:09.881 ; GCPtr ; Warn ; Deleting [00990BB0]
15:04:09.881 ; GCPtr ; Warn ; Deleting [009AD6F0]
15:04:09.881 ; GCPtr ; Warn ; Deleting [009E7760]
15:04:09.881 ; GCPtr ; Warn ; Deleting [009E7420]
15:04:09.881 ; GCPtr ; Warn ; Deleting [00971980]
15:04:09.881 ; GCPtr ; Warn ; Deleting [009B8A90]
15:04:09.882 ; Main  ; Info ; Calling SDL_Quit()
09:18:36.332 ; Main  ; Info ; Creating Kernel Object
09:18:36.332 ; Main  ; Info ; New RenderEngine Task
09:18:36.339 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
09:18:36.339 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
09:18:36.340 ; SmpegPlayer ; Info ; constructor successfull
09:18:36.914 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
09:18:37.093 ; Main  ; Info ; New Input Task
09:18:37.093 ; Main  ; Info ; New Timer Task
09:18:37.094 ; Main  ; Info ; New GameMenu Task
